,size,isEmpty,peek_obj_type
0,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject"""
1,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
8,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
12,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
13,"size == ""2.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject"""
14,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
20,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
24,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
25,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
62,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
64,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
99,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string"""
103,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
105,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
284,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
290,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
356,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
382,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
383,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
395,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
437,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
641,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
758,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.character"""
1298,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
1577,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
1578,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
2195,"size == ""7.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
2547,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
3226,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.character"""
6996,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
12097,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
12099,"size == ""7.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
12839,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
15387,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
17888,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.object"""
27002,"size == ""8.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.character"""
27778,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
28298,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
40825,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
52940,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string"""
65215,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
73355,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
77321,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
