,size,isEmpty,peek_obj_type
0,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject"""
1,"size == ""2.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject"""
10,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
11,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
12,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
23,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
24,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
146,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
147,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
154,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
169,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
184,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
245,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
407,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
463,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
683,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
691,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
814,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
815,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
1882,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
2173,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string"""
7386,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
11274,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
17776,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
25157,"size == ""7.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
34702,"size == ""8.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
42234,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
53558,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
