,size,isEmpty,peek_obj_type
0,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject"""
2,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
4,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
6,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
8,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string"""
18,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
19,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
33,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
62,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
63,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
72,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
73,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
74,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
80,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
114,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
136,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
161,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
266,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
267,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
306,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
414,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
415,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
416,"size == ""7.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
495,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string"""
496,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
526,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
634,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
767,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
768,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
1155,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
1579,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
1712,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
2001,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
4191,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
4646,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.character"""
5296,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
6834,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
6896,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
13654,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
13892,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
14559,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
14608,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.object"""
16037,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
17701,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
