,size,isEmpty,peek_obj_type
0,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject"""
1,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
2,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
12,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string"""
22,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
25,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
34,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
38,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
39,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
49,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
50,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
56,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
57,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
58,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
64,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
65,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
66,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
335,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string"""
596,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
654,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
825,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
881,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
882,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
1293,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
1390,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
1696,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
1772,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
2180,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
3611,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
3685,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
5946,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
6242,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
6260,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.object"""
6464,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
6539,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
7742,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
8951,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
9010,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
10151,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
13478,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
19226,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
23159,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.character"""
25127,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
30756,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
32653,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
