,size,isEmpty,peek_obj_type
0,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject"""
1,"size == ""2.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject"""
4,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
14,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
26,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
47,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
52,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
53,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
54,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
103,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
104,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
126,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
201,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
230,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
302,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
303,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
1063,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
1252,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
1674,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
1941,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
2002,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
7669,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
7976,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
26230,"size == ""7.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
35804,"size == ""8.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
