,size,isEmpty,peek_obj_type
0,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject"""
1,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
4,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
5,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
6,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
15,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string"""
18,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
27,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
32,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
38,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
39,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
40,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
80,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
98,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
100,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
101,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
138,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
216,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
290,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
498,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
499,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
572,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
922,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
991,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
1238,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
1548,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
1696,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
2110,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
2150,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
2325,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string"""
2749,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
3009,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
3011,"size == ""7.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
3773,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
4314,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
4524,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.object"""
4583,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.object"""
8881,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
10074,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
12152,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
12911,"size == ""7.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
14332,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.character"""
16896,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.character"""
28858,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string"""
30963,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
32901,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
