,size,isEmpty,peek_obj_type,size_p,isEmpty_p,peek_obj_type_p
0,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String"""
2,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String"""
3,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver"""
5,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String"""
6,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float"""
8,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String"""
9,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class"""
13,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String"""
14,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long"""
15,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean"""
16,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long"""
17,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class"""
18,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long"""
30,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float"""
31,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float"""
32,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double"""
33,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver"""
35,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float"""
36,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver"""
37,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float"""
38,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class"""
41,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String"""
42,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String"""
59,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean"""
60,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver"""
66,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver"""
68,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver"""
74,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String"""
75,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte"""
76,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float"""
79,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String"""
80,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short"""
100,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float"""
101,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short"""
108,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long"""
138,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float"""
139,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class"""
143,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short"""
144,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double"""
145,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class"""
146,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double"""
