,size,isEmpty,calledMethod,size_p,isEmpty_p,calledMethod_p
0,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
1,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
2,"size == ""1.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
3,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""1""","isEmpty_p == ""False""","calledMethod_p == ""push"""
4,"size == ""3.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""push"""
5,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""push"""
6,"size == ""1.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
7,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""1""","isEmpty_p == ""False""","calledMethod_p == ""push"""
10,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""push"""
12,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""1""","isEmpty_p == ""False""","calledMethod_p == ""push"""
16,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
19,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
21,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""1""","isEmpty_p == ""False""","calledMethod_p == ""push"""
22,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
25,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""push"""
33,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
37,"size == ""1.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""push"""
38,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""1""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
44,"size == ""1.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
67,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""push"""
68,"size == ""3.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
69,"size == ""4.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""push"""
70,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push"""
76,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
