,Unnamed: 0,isEmpty,peek_obj_type,calledMethod,isEmpty_p,peek_obj_type_p,calledMethod_p,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,0,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""CTOR""",0,,0,,0,
1,1,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""push""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""CTOR""",0,,0,,0,
2,2,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""clear""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",0,,0,,0,
3,3,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""push""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""clear""",0,,0,,0,
4,4,"isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""","calledMethod == ""push""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",4,"['0', '2', '3', '6']",1,['5'],4,"['0', '2', '3', '6']"
5,5,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""pop""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""",0,,3,"['11', '12', '13']",0,
6,6,"isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""","calledMethod == ""push""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""pop""",0,,0,,0,
7,8,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""clear""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""pop""",0,,0,,0,
8,9,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""clear""",0,,0,,0,
9,11,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",0,,0,,0,
10,12,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""clear""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""CTOR""",0,,0,,0,
11,14,"isEmpty == ""false""","peek_obj_type == ""class java.lang.class""","calledMethod == ""push""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",4,"['0', '2', '3', '6']",1,['5'],4,"['0', '2', '3', '6']"
12,15,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""CTOR""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""",0,,2,"['12', '13']",0,
13,19,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""CTOR""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""",0,,2,"['12', '13']",0,
14,26,"isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""","calledMethod == ""push""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",4,"['0', '2', '3', '6']",1,['5'],4,"['0', '2', '3', '6']"
15,27,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""CTOR""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""",0,,2,"['12', '13']",0,
16,47,"isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","calledMethod == ""push""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""",0,,7,"['0', '1', '2', '3', '5', '6', '10']",0,
17,48,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""CTOR""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",0,,2,"['12', '13']",0,
18,52,"isEmpty == ""false""","peek_obj_type == ""class java.lang.short""","calledMethod == ""push""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",4,"['0', '2', '3', '6']",1,['5'],4,"['0', '2', '3', '6']"
19,53,"isEmpty == ""false""","peek_obj_type == ""class java.lang.short""","calledMethod == ""push""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",0,,7,"['0', '1', '2', '3', '5', '6', '10']",0,
20,54,"isEmpty == ""false""","peek_obj_type == ""class java.lang.integer""","calledMethod == ""push""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",0,,7,"['0', '1', '2', '3', '5', '6', '10']",0,
21,55,"isEmpty == ""false""","peek_obj_type == ""class java.lang.short""","calledMethod == ""pop""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Integer""","calledMethod_p == ""push""",0,,4,"['4', '6', '7', '11']",0,
22,56,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""clear""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""pop""",0,,2,"['12', '13']",0,
23,72,"isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""clear""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""clear""",0,,0,,0,
