,Unnamed: 0,size,isEmpty,calledMethod,size_p,isEmpty_p,calledMethod_p,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,0,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,2,"['8', '9']",0,
1,1,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,0,,0,
2,2,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,11,"['12', '13', '25', '26', '27', '28', '29', '30', '33', '34', '35']",0,
3,3,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,4,"['1', '2', '23', '24']",0,
4,4,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,0,,0,
5,5,"size == ""3.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
6,6,"size == ""4.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
7,7,"size == ""3.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
8,8,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
9,9,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['1', '2', '5', '6', '7', '11', '23', '24', '34', '35', '38', '39', '40']",0,
10,10,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,2,"['8', '9']",0,
11,12,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['8', '9', '12', '13', '19', '20', '21', '22', '25', '26', '27', '28', '29', '30', '33', '34', '35', '36']",0,
12,15,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,0,,0,
13,19,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['1', '2', '5', '6', '7', '11', '12', '13', '25', '26', '27', '28', '29', '30', '33', '34', '35', '38']",0,
14,20,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,2,"['1', '2']",0,
15,25,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,4,"['8', '9', '23', '24']",0,
16,28,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
17,29,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,6,"['23', '24', '34', '35', '39', '40']",0,
18,31,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,2,"['1', '2']",0,
19,36,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['8', '9', '12', '13', '19', '20', '21', '22', '25', '26', '27', '28', '29', '30', '33', '34', '35', '36']",0,
20,40,"size == ""5.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
21,41,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['8', '9', '12', '13', '19', '20', '21', '22', '25', '26', '27', '28', '29', '30', '33', '34', '35', '36']",0,
22,138,"size == ""3.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
23,147,"size == ""4.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
24,148,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['1', '2', '5', '6', '7', '11', '12', '13', '25', '26', '27', '28', '29', '30', '33', '34', '35', '38']",0,
25,156,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['1', '2', '5', '6', '7', '11', '12', '13', '25', '26', '27', '28', '29', '30', '33', '34', '35', '38']",0,
26,171,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,2,"['23', '24']",0,
27,179,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['8', '9', '19', '20', '21', '22', '23', '24', '34', '35', '36', '39', '40']",0,
28,292,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['8', '9', '12', '13', '19', '20', '21', '22', '25', '26', '27', '28', '29', '30', '33', '34', '35', '36']",0,
29,428,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['1', '2', '5', '6', '7', '11', '12', '13', '25', '26', '27', '28', '29', '30', '33', '34', '35', '38']",0,
30,455,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['8', '9', '19', '20', '21', '22', '23', '24', '34', '35', '36', '39', '40']",0,
31,499,"size == ""6.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
32,500,"size == ""5.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""6""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
33,501,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['8', '9', '19', '20', '21', '22', '23', '24', '34', '35', '36', '39', '40']",0,
34,564,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['1', '2', '5', '6', '7', '11', '23', '24', '34', '35', '38', '39', '40']",0,
35,621,"size == ""4.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
36,622,"size == ""3.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
37,737,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,0,,0,
38,993,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['1', '2', '5', '6', '7', '11', '23', '24', '34', '35', '38', '39', '40']",0,
39,1698,"size == ""4.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
40,1699,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['8', '9', '19', '20', '21', '22', '23', '24', '34', '35', '36', '39', '40']",0,
41,3011,"size == ""7.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""6""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
