,Unnamed: 0,size,isEmpty,peek_obj_type,calledMethod,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,0,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""CTOR""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""CTOR""",0,,3,"['64', '65', '66']",0,
1,1,"size == ""2.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""CTOR""",1,['66'],0,,1,['66']
2,2,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""clear""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",20,"['15', '16', '17', '33', '36', '39', '40', '43', '44', '45', '47', '49', '53', '56', '57', '60', '62', '63', '82', '90']",15,"['0', '1', '20', '21', '24', '25', '26', '27', '28', '29', '30', '31', '64', '65', '66']",20,"['15', '16', '17', '33', '36', '39', '40', '43', '44', '45', '47', '49', '53', '56', '57', '60', '62', '63', '82', '90']"
3,3,"size == ""2.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""clear""",1,['66'],0,,1,['66']
4,4,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""CTOR""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",20,"['15', '16', '17', '33', '36', '39', '40', '43', '44', '45', '47', '49', '53', '56', '57', '60', '62', '63', '82', '90']",15,"['0', '1', '20', '21', '24', '25', '26', '27', '28', '29', '30', '31', '64', '65', '66']",20,"['15', '16', '17', '33', '36', '39', '40', '43', '44', '45', '47', '49', '53', '56', '57', '60', '62', '63', '82', '90']"
5,10,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",6,"['9', '10', '46', '47', '48', '52']",1,['4'],6,"['9', '10', '46', '47', '48', '52']"
6,11,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",0,,7,"['4', '9', '10', '11', '19', '46', '52']",0,
7,12,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""","calledMethod == ""push""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",0,,7,"['4', '9', '10', '11', '19', '46', '52']",0,
8,13,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","calledMethod == ""CTOR""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""",0,,58,"['0', '1', '5', '6', '7', '8', '13', '14', '15', '16', '17', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '43', '44', '45', '49', '53', '54', '55', '56', '57', '59', '60', '61', '62', '63', '64', '65', '66', '73', '74', '75', '76', '77', '78', '82', '90']",0,
9,23,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",6,"['9', '10', '46', '47', '48', '52']",1,['4'],6,"['9', '10', '46', '47', '48', '52']"
10,24,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",0,,7,"['4', '9', '10', '11', '19', '46', '52']",0,
